"Current and capital accounts - Households, Canada, quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 36-10-0112-01 (formerly CANSIM 380-0072),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release date: 2023-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography: Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seasonal adjustment,Seasonally adjusted at annual rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unadjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates,"Compensation of employees 1  (x 1,000,000)","Paid to residents by resident entities 1  (x 1,000,000)","Paid to residents by non-resident entities 1  (x 1,000,000)","Plus: net mixed income 1  (x 1,000,000)","Non-farm 1  (x 1,000,000)","Farm 1  (x 1,000,000)","Rental income of households 1  (x 1,000,000)","Plus: net property income 1  (x 1,000,000)","Property income received 1  (x 1,000,000)","Less: property income paid 1  (x 1,000,000)","Equals: primary household income 1  (x 1,000,000)","Primary household income 2  (x 1,000,000)","Plus: current transfers received 2  (x 1,000,000)","From non-profit institutions serving households 2  (x 1,000,000)","From corporations 2  (x 1,000,000)","From general governments 2 3  (x 1,000,000)","Employment insurance benefits 2 3  (x 1,000,000)","Social security benefits 2  (x 1,000,000)","Other benefits 2 3  (x 1,000,000)","From non-residents 2  (x 1,000,000)","Less: current transfers paid 2  (x 1,000,000)","To non-profit institutions serving households 2  (x 1,000,000)","To corporations 2  (x 1,000,000)","To general governments 2  (x 1,000,000)","Personal income tax 2  (x 1,000,000)","Other current transfers 2  (x 1,000,000)","Of which: contributions to social insurance plans 2  (x 1,000,000)","To non-residents 2  (x 1,000,000)","Equals: household disposable income 2  (x 1,000,000)","Household disposable income 4  (x 1,000,000)","Less: household final consumption expenditure 4  (x 1,000,000)","Plus: change in pension entitlements 4  (x 1,000,000)","Equals: household net saving 4  (x 1,000,000)",Household saving rate 4,"Household net saving 5  (x 1,000,000)","Plus: consumption of fixed capital at replacement cost 5  (x 1,000,000)","Plus: net capital transfers received 5  (x 1,000,000)","From non-profit institutions serving households 5  (x 1,000,000)","From corporations 5  (x 1,000,000)","From general governments 3 5  (x 1,000,000)","From non-residents 5  (x 1,000,000)","Equals: gross saving and capital transfers 5  (x 1,000,000)","Less: non-financial capital acquisitions 5  (x 1,000,000)","Fixed capital 5  (x 1,000,000)","New assets 5  (x 1,000,000)","Existing assets 5  (x 1,000,000)","Inventories 5  (x 1,000,000)","Equals: net lending or net borrowing 5  (x 1,000,000)","Compensation of employees 1  (x 1,000,000)","Paid to residents by resident entities 1  (x 1,000,000)","Paid to residents by non-resident entities 1  (x 1,000,000)","Plus: net mixed income 1  (x 1,000,000)","Non-farm 1  (x 1,000,000)","Farm 1  (x 1,000,000)","Rental income of households 1  (x 1,000,000)","Plus: net property income 1  (x 1,000,000)","Property income received 1  (x 1,000,000)","Less: property income paid 1  (x 1,000,000)","Equals: primary household income 1  (x 1,000,000)","Primary household income 2  (x 1,000,000)","Plus: current transfers received 2  (x 1,000,000)","From non-profit institutions serving households 2  (x 1,000,000)","From corporations 2  (x 1,000,000)","From general governments 2 3  (x 1,000,000)","Employment insurance benefits 2 3  (x 1,000,000)","Social security benefits 2  (x 1,000,000)","Other benefits 2 3  (x 1,000,000)","From non-residents 2  (x 1,000,000)","Less: current transfers paid 2  (x 1,000,000)","To non-profit institutions serving households 2  (x 1,000,000)","To corporations 2  (x 1,000,000)","To general governments 2  (x 1,000,000)","Personal income tax 2  (x 1,000,000)","Other current transfers 2  (x 1,000,000)","Of which: contributions to social insurance plans 2  (x 1,000,000)","To non-residents 2  (x 1,000,000)","Equals: household disposable income 2  (x 1,000,000)","Household disposable income 4  (x 1,000,000)","Less: household final consumption expenditure 4  (x 1,000,000)","Plus: change in pension entitlements 4  (x 1,000,000)","Equals: household net saving 4  (x 1,000,000)",Household saving rate 4,"Household net saving 5  (x 1,000,000)","Plus: consumption of fixed capital at replacement cost 5  (x 1,000,000)","Plus: net capital transfers received 5  (x 1,000,000)","From non-profit institutions serving households 5  (x 1,000,000)","From corporations 5  (x 1,000,000)","From general governments 3 5  (x 1,000,000)","From non-residents 5  (x 1,000,000)","Equals: gross saving and capital transfers 5  (x 1,000,000)","Less: non-financial capital acquisitions 5  (x 1,000,000)","Fixed capital 5  (x 1,000,000)","New assets 5  (x 1,000,000)","Existing assets 5  (x 1,000,000)","Inventories 5  (x 1,000,000)","Equals: net lending or net borrowing 5  (x 1,000,000)"
Q4 2020,"1,195,596","1,194,644",952,"207,644","77,584","6,028","124,032","139,996","209,536","69,540","1,543,236","1,543,236","430,980","8,200","111,584","308,152","43,556","76,148","188,448","3,044","595,252","20,100","150,672","416,752","293,472","123,280","110,480","7,728","1,378,964","1,378,964","1,265,980","39,088","152,072",11,"152,072","72,256","-2,972","-3,116",0,144,0,"221,356","224,312","225,044","212,804","12,240",-732,"-2,956","303,314","303,074",240,"52,985","19,623","2,537","30,825","38,415","55,888","17,473","394,714","394,714","106,976","2,068","28,120","76,031","10,424","18,926","46,681",757,"145,236","5,082","40,697","97,519","74,820","22,699","19,459","1,938","356,454","356,454","323,865","12,577","45,166",12.7,"45,166","17,884",-756,-792,0,36,0,"62,294","53,130","53,752","50,467","3,285",-622,"9,164"
Q1 2021,"1,224,976","1,223,980",996,"213,996","87,384","4,844","121,768","145,604","213,708","68,104","1,584,576","1,584,576","457,412","10,128","110,736","333,580","48,424","76,748","208,408","2,968","606,096","20,596","156,168","421,436","295,532","125,904","112,180","7,896","1,435,892","1,435,892","1,280,320","45,432","201,004",14,"201,004","73,300","-2,724","-2,864",0,140,0,"271,580","248,780","251,408","234,880","16,528","-2,628","22,800","302,707","302,461",246,"50,249","19,935",785,"29,529","34,771","51,743","16,972","387,727","387,727","116,544","2,515","27,385","85,901","14,176","19,372","52,353",743,"161,279","5,073","36,711","117,521","78,122","39,399","35,825","1,974","342,992","342,992","298,058","9,326","54,260",15.8,"54,260","18,330",-691,-726,0,35,0,"71,899","50,374","52,791","51,358","1,433","-2,417","21,525"
Q2 2021,"1,246,208","1,245,200","1,008","218,328","91,360","5,384","121,584","147,932","215,580","67,648","1,612,468","1,612,468","456,044","9,812","114,712","328,596","50,596","77,332","200,668","2,924","619,464","20,772","155,216","435,644","307,732","127,912","115,004","7,832","1,449,048","1,449,048","1,284,516","40,504","205,036",14.1,"205,036","75,824","-2,824","-2,988",0,164,0,"278,036","246,160","247,596","239,468","8,128","-1,436","31,876","310,900","310,647",253,"49,129","23,588","-5,164","30,705","35,806","52,564","16,758","395,835","395,835","112,685","2,454","29,043","80,453","11,607","19,305","49,541",735,"158,200","5,210","41,636","109,394","73,117","36,277","33,170","1,960","350,320","350,320","328,069","12,593","34,844",9.9,"34,844","18,993",-685,-726,0,41,0,"53,152","66,196","68,742","66,716","2,026","-2,546","-13,044"
Q3 2021,"1,282,196","1,281,112","1,084","217,076","88,200","4,236","124,640","151,476","217,104","65,628","1,650,748","1,650,748","444,384","9,988","119,180","312,072","48,516","78,276","185,280","3,144","640,568","21,440","160,920","450,284","315,628","134,656","121,608","7,924","1,454,564","1,454,564","1,361,180","41,740","135,124",9.3,"135,124","79,836","-2,736","-2,908",0,172,0,"212,224","227,004","230,968","226,672","4,296","-3,964","-14,780","319,680","319,409",271,"61,279","22,986","6,443","31,850","36,999","53,566","16,567","417,958","417,958","110,504","2,495","28,937","78,287","11,675","19,524","47,088",785,"151,515","5,357","37,144","107,041","76,800","30,241","27,048","1,973","376,947","376,947","347,148","8,207","38,006",10.1,"38,006","20,109",-683,-726,0,43,0,"57,432","67,188","64,070","60,644","3,426","3,118","-9,756"
Q4 2021,"1,304,980","1,303,896","1,084","219,672","89,316","6,112","124,244","150,832","217,140","66,308","1,675,484","1,675,484","412,352","11,324","119,936","277,916","27,860","79,000","171,056","3,176","649,068","21,956","158,892","460,184","326,680","133,504","120,580","8,036","1,438,768","1,438,768","1,384,524","38,956","93,200",6.5,"93,200","82,116","-2,644","-2,856",0,212,0,"172,672","252,668","253,604","245,600","8,004",-936,"-79,996","331,303","331,030",273,"56,611","22,556","3,080","30,975","41,385","58,010","16,625","429,299","429,299","102,815","2,849","30,776","68,400","6,391","19,638","42,371",790,"157,805","5,551","42,308","107,931","83,354","24,577","21,300","2,015","374,309","374,309","354,360","11,532","31,481",8.4,"31,481","20,337",-673,-726,0,53,0,"51,145","59,895","60,291","57,937","2,354",-396,"-8,750"
Q1 2022,"1,351,912","1,350,816","1,096","227,812","94,892","7,728","125,192","163,236","231,040","67,804","1,742,960","1,742,960","423,072","11,956","122,036","285,908","23,564","80,380","181,964","3,172","666,168","22,644","168,468","468,120","334,932","133,188","121,772","6,936","1,499,864","1,499,864","1,414,220","46,432","132,076",8.8,"132,076","84,988","-2,364","-2,916",0,552,0,"214,700","271,812","271,364","259,536","11,828",448,"-57,112","334,034","333,763",271,"52,085","21,877",10,"30,198","39,486","56,264","16,778","425,605","425,605","106,598","2,972","30,251","72,585","6,738","20,363","45,484",790,"177,556","5,597","39,683","130,551","88,581","41,970","39,009","1,725","354,647","354,647","331,421","9,432","32,658",9.2,"32,658","21,122",-588,-726,0,138,0,"53,192","56,242","58,954","58,316",638,"-2,712","-3,050"
Q2 2022,"1,377,868","1,376,756","1,112","236,452","97,164","9,752","129,536","159,044","235,780","76,736","1,773,364","1,773,364","409,988","11,348","122,164","273,208","19,864","80,828","172,516","3,268","672,992","23,020","162,444","480,596","339,864","140,732","128,976","6,932","1,510,360","1,510,360","1,473,568","40,280","77,072",5.1,"77,072","87,580","-2,588","-2,928",0,340,0,"162,064","246,920","244,240","236,692","7,548","2,680","-84,856","344,659","344,380",279,"51,131","25,369","-7,112","32,874","39,574","58,157","18,583","435,364","435,364","101,888","2,841","30,738","67,500","4,777","20,167","42,556",809,"171,221","5,775","43,115","120,601","80,549","40,052","37,218","1,730","366,031","366,031","375,992","12,377","2,416",0.7,"2,416","22,020",-641,-726,0,85,0,"23,795","63,622","66,497","64,600","1,897","-2,875","-39,827"
Q3 2022,"1,393,380","1,392,252","1,128","241,412","97,088","10,868","133,456","150,112","241,708","91,596","1,784,904","1,784,904","419,432","11,116","122,224","282,720","20,652","81,868","180,200","3,372","686,684","23,352","161,048","495,240","348,636","146,604","134,848","7,044","1,517,652","1,517,652","1,485,408","38,824","71,068",4.7,"71,068","88,560","-2,564","-2,912",0,348,0,"157,064","229,136","227,152","226,324",828,"1,984","-72,072","347,922","347,640",282,"71,610","25,143","12,198","34,269","36,414","59,422","23,008","455,946","455,946","105,150","2,777","30,180","71,338","4,874","20,394","46,070",855,"163,903","5,830","37,403","118,910","85,367","33,543","30,640","1,760","397,193","397,193","377,851","7,223","26,565",6.7,"26,565","22,282",-639,-726,0,87,0,"48,208","69,511","62,094","59,602","2,492","7,417","-21,303"
Q4 2022,"1,409,352","1,408,200","1,152","245,204","97,432","9,584","138,188","148,952","256,280","107,328","1,803,508","1,803,508","442,780","13,140","119,576","306,544","18,444","82,776","205,324","3,520","691,396","23,688","160,680","499,888","351,652","148,236","136,864","7,140","1,554,892","1,554,892","1,505,484","41,104","90,512",5.8,"90,512","90,180","-2,372","-2,860",0,488,0,"178,320","229,240","230,324","226,296","4,028","-1,084","-50,920","356,513","356,223",290,"62,894","24,255","4,387","34,252","39,862","67,359","27,497","459,269","459,269","110,182","3,300","30,331","75,672","4,242","20,539","50,891",879,"166,630","5,974","42,959","115,899","89,274","26,625","23,748","1,798","402,821","402,821","384,406","12,628","31,043",7.7,"31,043","22,403",-604,-726,0,122,0,"52,842","54,902","55,725","54,694","1,031",-823,"-2,060"
Q1 2023,"1,435,964","1,434,812","1,152","252,036","97,940","9,532","144,564","145,440","268,892","123,452","1,833,440","1,833,440","424,748","10,708","118,832","291,684","19,556","85,180","186,948","3,524","713,228","24,032","164,752","516,792","357,228","159,564","148,148","7,652","1,544,960","1,544,960","1,534,032","45,920","56,848",3.7,"56,848","90,340","-2,372","-2,932",0,560,0,"144,816","240,736","243,064","230,296","12,768","-2,328","-95,920","354,439","354,153",286,"57,404","22,701",-22,"34,725","35,265","65,962","30,697","447,108","447,108","106,759","2,658","29,421","73,803","5,569","21,596","46,638",877,"191,751","5,940","39,243","144,678","94,081","50,597","47,664","1,890","362,116","362,116","361,229","9,822","10,709",3,"10,709","22,519",-586,-726,0,140,0,"32,642","50,489","54,462","53,709",753,"-3,973","-17,847"
Q2 2023,"1,467,648","1,466,508","1,140","257,844","101,008","7,704","149,132","152,680","283,644","130,964","1,878,172","1,878,172","432,672","11,016","121,528","296,520","16,880","84,332","195,308","3,608","726,076","24,588","166,408","527,432","366,544","160,888","149,208","7,648","1,584,768","1,584,768","1,549,440","44,880","80,208",5.1,"80,208","91,012","-2,392","-2,928",0,536,0,"168,828","238,540","238,992","231,500","7,492",-452,"-69,712","367,733","367,447",286,"57,431","26,286","-6,811","37,956","38,135","70,125","31,990","463,299","463,299","107,691","2,760","30,598","73,442","3,984","21,020","48,438",891,"184,926","6,162","44,290","132,568","86,982","45,586","42,752","1,906","386,064","386,064","396,010","13,692","3,746",1,"3,746","22,840",-592,-726,0,134,0,"25,994","62,660","65,828","64,181","1,647","-3,168","-36,666"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Current accounts: Allocation of primary income account.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Current accounts: Secondary distribution of income account.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"This series may be impacted by government COVID-19 support measures. Details may be found in the table <a href=https://www150.statcan.gc.ca/n1/en/type/data?text=36100687"" rel=""external noopener noreferrer"" target=""_blank"">Federal government COVID-19 support measures in the System of Macroeconomic Accounts"," quarterly (opens new window)</a>.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Current accounts: Use of disposable income account.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Capital account.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How to cite: Statistics Canada. Table 36-10-0112-01  Current and capital accounts - Households, Canada, quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610011201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
